suite,task_id,task,episodes,successes,detected_settle,detected_policy,invalid_settle,invalid_policy,policy_phase_flags,audit_init_states,audit_invalid_init_states,deepest_start_mm
libero_spatial,0,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,10,10,0,0,0,0,0,50,0,7.5
libero_spatial,1,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,10,10,0,0,0,0,0,50,0,0.0
libero_spatial,2,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,10,10,0,0,0,0,0,50,0,6.5
libero_spatial,3,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,10,10,0,0,0,0,0,50,0,0.0
libero_spatial,4,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,10,10,0,0,0,0,2,50,0,0.0
libero_spatial,5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,10,10,0,0,0,0,20,50,0,0.0
libero_spatial,6,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,10,10,0,0,0,0,6,50,0,0.0
libero_spatial,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,10,10,0,0,0,0,10,50,0,0.0
libero_spatial,8,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,10,9,0,0,0,0,3,50,0,0.0
libero_spatial,9,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,10,10,0,0,0,0,4,50,0,0.0
libero_object,0,pick_up_the_alphabet_soup_and_place_it_in_the_basket,10,10,10,0,10,0,3,50,50,37.7
libero_object,1,pick_up_the_cream_cheese_and_place_it_in_the_basket,10,10,10,0,10,0,0,50,50,34.8
libero_object,2,pick_up_the_salad_dressing_and_place_it_in_the_basket,10,10,10,0,10,0,0,50,50,37.7
libero_object,3,pick_up_the_bbq_sauce_and_place_it_in_the_basket,10,10,10,0,10,0,38,50,50,37.7
libero_object,4,pick_up_the_ketchup_and_place_it_in_the_basket,10,9,10,1,10,1,2,50,50,37.7
libero_object,5,pick_up_the_tomato_sauce_and_place_it_in_the_basket,10,8,10,0,10,0,2,50,50,34.8
libero_object,6,pick_up_the_butter_and_place_it_in_the_basket,10,10,10,0,10,0,4,50,50,37.4
libero_object,7,pick_up_the_milk_and_place_it_in_the_basket,10,10,10,0,10,0,2,50,50,34.8
libero_object,8,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,10,10,10,0,10,0,2,50,50,37.7
libero_object,9,pick_up_the_orange_juice_and_place_it_in_the_basket,10,10,10,0,10,0,2,50,50,37.7
libero_goal,0,open_the_middle_drawer_of_the_cabinet,10,10,0,0,0,0,0,50,0,0.0
libero_goal,1,put_the_bowl_on_the_stove,10,10,0,0,0,0,0,50,0,0.0
libero_goal,2,put_the_wine_bottle_on_top_of_the_cabinet,10,10,0,0,0,0,10,50,0,0.0
libero_goal,3,open_the_top_drawer_and_put_the_bowl_inside,10,10,0,0,0,0,8,50,0,0.0
libero_goal,4,put_the_bowl_on_top_of_the_cabinet,10,10,0,0,0,0,1,50,0,0.0
libero_goal,5,push_the_plate_to_the_front_of_the_stove,10,9,0,0,0,0,214,50,0,0.0
libero_goal,6,put_the_cream_cheese_in_the_bowl,10,10,0,0,0,0,9,50,0,0.0
libero_goal,7,turn_on_the_stove,10,10,0,0,0,0,0,50,0,0.0
libero_goal,8,put_the_bowl_on_the_plate,10,10,0,0,0,0,0,50,0,0.0
libero_goal,9,put_the_wine_bottle_on_the_rack,10,9,0,0,0,0,0,50,0,0.0
libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,10,9,10,0,10,0,15,50,50,14.6
libero_10,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,10,10,10,1,10,0,17,50,50,14.6
libero_10,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,10,10,0,0,0,0,0,50,0,0.0
libero_10,3,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,10,10,0,0,0,0,4,50,0,0.0
libero_10,4,LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,10,9,0,0,0,0,0,50,0,0.0
libero_10,5,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,10,9,0,0,0,0,1,50,0,0.0
libero_10,6,LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,10,10,0,0,0,0,1,50,0,0.0
libero_10,7,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,10,9,10,0,10,0,27,50,50,14.6
libero_10,8,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,10,8,0,0,0,0,1,50,0,0.0
libero_10,9,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,10,3,0,1,0,1,60,50,0,0.0
