task,N,S,official,skipped,failures,E_fail,E_succ,R1,R0,audited,bound,open,runs
adjust_bottle,20,20,100.0,11,0,0,0,-,-,100.0,100.0,-,4090-node3:/home/zhoujingjing/simuguard/runs/crosstask7_all36/adjust_bottle
beat_block_hammer,20,19,95.0,11,1,0,0,-,-,95.0,95.0,-,4090-node3:/home/zhoujingjing/simuguard/runs/crosstask7_all36/beat_block_hammer
blocks_ranking_rgb,20,19,95.0,0,1,0,0,-,-,95.0,95.0,-,4090-node3:/home/zhoujingjing/simuguard/runs/crosstask7_all36/blocks_ranking_rgb
blocks_ranking_size,20,17,85.0,2,3,0,0,-,-,85.0,85.0,-,4090-node2:/mnt/nvme0/twinguar/simuguard/runs/crosstask7_all36/blocks_ranking_size
click_alarmclock,20,20,100.0,4,0,0,0,-,-,100.0,100.0,-,4090-node2:/mnt/nvme0/twinguar/simuguard/runs/crosstask7_all36/click_alarmclock
click_bell,20,20,100.0,0,0,0,0,-,-,100.0,100.0,-,4090-node3:/home/zhoujingjing/simuguard/runs/crosstask7_all36/click_bell
dump_bin_bigbin,20,20,100.0,28,0,0,0,-,-,100.0,100.0,-,4090-node2:/mnt/nvme0/twinguar/simuguard/runs/crosstask6_remote20/dump_bin_bigbin
grab_roller,20,20,100.0,1,0,0,0,-,-,100.0,100.0,-,4090-node2:/mnt/nvme0/twinguar/simuguard/runs/crosstask7_all36/grab_roller
handover_block,20,20,100.0,6,0,0,0,-,-,100.0,100.0,-,4090-node2:/mnt/nvme0/twinguar/simuguard/runs/crosstask7_all36/handover_block
handover_mic,20,19,95.0,3,1,0,0,-,-,95.0,95.0,-,4090-node2:/mnt/nvme0/twinguar/simuguard/runs/crosstask7_all36/handover_mic
hanging_mug,20,3,15.0,2,17,1,0,-,-,-,20.0,-,4090-node2:/mnt/nvme0/twinguar/simuguard/runs/crosstask6_remote20/hanging_mug
lift_pot,20,20,100.0,28,0,0,0,-,-,100.0,100.0,-,4090-node2:/mnt/nvme0/twinguar/simuguard/runs/crosstask6_remote20/lift_pot
move_can_pot,20,18,90.0,3,2,0,0,-,-,90.0,90.0,-,4090-node2:/mnt/nvme0/twinguar/simuguard/runs/crosstask6_remote20/move_can_pot
move_pillbottle_pad,20,20,100.0,11,0,0,0,-,-,100.0,100.0,-,4090-node2:/mnt/nvme0/twinguar/simuguard/runs/crosstask7_all36/move_pillbottle_pad
move_playingcard_away,20,20,100.0,0,0,0,0,-,-,100.0,100.0,-,4090-node3:/home/zhoujingjing/simuguard/runs/crosstask7_all36/move_playingcard_away
move_stapler_pad,20,14,70.0,0,6,1,0,-,-,-,75.0,0,4090-node3:/home/zhoujingjing/simuguard/runs/crosstask7_all36/move_stapler_pad
open_laptop,20,20,100.0,0,0,0,0,-,-,100.0,100.0,-,4090-node3:/home/zhoujingjing/simuguard/runs/crosstask7_all36/open_laptop
open_microwave,20,15,75.0,15,5,0,0,-,-,75.0,75.0,-,4090-node3:/home/zhoujingjing/simuguard/runs/crosstask7_all36/open_microwave
